welcomingrank,city_ascii,country,expert,port,safety,happiness,english,openness,overtourism,welcomingscore
1,Singapore,Singapore,7.90,10.00,8.95,6.16,7.82,8.60,8.65,8.22
2,Stockholm,Sweden,9.10,9.13,7.89,9.04,8.17,5.63,6.59,8.02
3,Helsinki,Finland,8.30,7.72,8.78,9.48,7.90,4.50,7.55,8.01
4,San Francisco,United States of America,8.00,7.38,6.80,8.43,9.30,3.80,8.46,8.00
5,Rotterdam,Netherlands,7.50,9.21,6.33,9.39,8.43,4.23,8.90,7.98
6,Lisbon,Portugal,9.20,3.27,8.08,2.14,6.33,3.01,7.81,7.90
7,Tokyo,Japan,8.90,9.48,9.65,3.88,3.88,6.07,7.09,7.89
8,Oslo,Norway,9.10,7.90,8.43,10.00,7.99,4.76,6.11,7.88
9,Zurich,Switzerland,8.00,9.39,9.74,9.74,6.59,5.11,7.13,7.84
10,Orlando,United States of America,8.50,5.11,4.06,8.43,9.30,3.97,7.99,7.81
11,Hamburg,Germany,8.50,8.43,7.99,7.82,7.55,7.90,6.50,7.69
12,Kobenhavn,Denmark,9.50,7.85,9.48,9.91,8.25,6.68,4.52,7.63
13,Dublin,Ireland,7.90,8.78,7.38,7.90,10.00,6.16,7.00,7.58
14,Toronto,Canada,8.50,1.70,7.81,9.21,8.69,8.34,6.23,7.52
15,Nice,France,7.70,7.38,7.90,5.98,5.11,3.27,7.70,7.45
16,Brugge,Belgium,8.00,1.61,5.02,7.38,7.03,3.70,7.88,7.41
17,Geneva,Switzerland,8.10,5.89,9.44,9.74,6.59,3.10,6.16,7.39
18,New York,United States of America,7.50,6.50,3.10,8.43,9.30,9.91,7.73,7.38
19,Berlin,Germany,7.40,2.83,6.76,7.82,7.55,9.36,7.58,7.37
20,Phuket,Thailand,8.90,1.44,3.82,5.54,2.22,1.09,7.64,7.36
21,Dubai,United Arab Emirates,6.90,2.49,8.49,6.77,2.75,5.89,8.56,7.35
22,Abu Dhabi,United Arab Emirates,6.90,2.49,10.00,6.77,2.75,2.40,8.43,7.34
23,Kathmandu,Nepal,7.70,1.26,7.03,1.87,1.00,2.92,8.86,7.32
24,Stuttgart,Germany,6.50,8.34,8.21,7.82,7.55,5.28,8.15,7.31
25,Goteborg,Sweden,8.00,8.60,7.47,9.04,8.17,3.45,6.24,7.30
26,Munich,Germany,6.00,8.34,9.83,7.82,7.55,8.25,7.99,7.23
27,Bern,Switzerland,8.00,9.65,9.91,9.74,6.59,2.49,5.46,7.21
28,Auckland,New Zealand,8.00,9.74,8.69,9.13,9.91,4.84,5.17,7.13
29,London,United Kingdom,6.80,8.51,7.32,7.12,9.83,9.74,6.85,7.06
30,Doha,Qatar,5.70,2.49,9.04,5.11,1.87,1.17,9.74,7.05
31,Glasgow,United Kingdom,8.00,9.65,5.65,7.12,9.83,3.53,5.83,7.00
32,Macau,China,7.80,5.49,7.12,3.10,3.80,1.61,7.19,6.99
33,Edinburgh,United Kingdom,8.50,6.77,8.60,7.12,9.83,3.62,4.65,6.96
34,Lima,Peru,6.90,4.15,2.02,3.62,2.83,6.42,8.95,6.91
35,Brussels,Belgium,6.90,5.81,4.58,7.38,7.03,7.12,7.38,6.90
36,Manama,Bahrain,5.50,4.50,8.25,4.58,1.61,1.35,9.39,6.80
37,Liverpool,United Kingdom,7.30,5.11,6.16,7.12,9.83,2.83,6.42,6.79
38,Beirut,Lebanon,7.90,4.50,3.68,2.22,2.05,2.57,7.47,6.78
39,Tel Aviv-Yafo,Israel,8.30,8.86,7.72,8.69,8.60,5.81,5.09,6.76
40,Kuwait,Kuwait,6.50,1.26,6.07,4.67,1.35,1.44,8.60,6.73
41,Vienna,Austria,5.40,8.69,9.30,8.60,7.73,7.99,6.94,6.60
42,Madrid,Spain,6.90,6.24,7.82,5.28,5.63,9.30,5.81,6.52
43,Las Vegas,United States of America,8.00,2.49,4.06,8.43,9.30,3.71,5.02,6.47
44,Shanghai,China,6.00,3.45,4.76,3.10,3.62,5.98,8.25,6.43
45,Miami,United States of America,6.50,1.35,2.58,8.43,9.30,4.67,7.12,6.42
46,Bangkok,Thailand,8.50,6.68,3.88,5.54,2.22,6.59,4.67,6.41
47,Marrakesh,Morocco,6.80,6.16,3.53,2.40,2.92,3.88,7.29,6.32
48,Prague,Czech Republic,6.90,7.55,7.20,6.42,6.24,7.29,4.19,6.31
49,Los Angeles,United States of America,6.50,5.98,2.83,8.43,9.30,9.39,6.07,6.30
50,Muscat,Oman,5.50,4.50,7.64,6.07,1.44,1.96,7.82,6.29
51,Graz,Austria,5.70,8.95,9.56,8.60,7.73,3.36,5.72,6.22
52,Amsterdam,Netherlands,8.70,9.39,8.34,9.39,8.43,6.77,2.18,6.12
53,Monaco,Monaco,5.00,3.18,7.20,4.76,5.11,1.00,8.17,6.12
54,Taipei,Taiwan,6.50,6.42,8.86,5.37,4.15,7.82,5.11,6.11
55,Sydney,Australia,7.90,5.63,5.13,9.04,9.48,8.43,5.10,6.07
56,Jakarta,Indonesia,4.30,7.55,2.57,2.57,4.32,7.38,7.48,6.06
57,St. Petersburg,Russia,6.00,3.62,4.41,4.06,4.06,9.21,6.77,6.03
58,Amman,Jordan,7.40,5.28,4.67,3.27,1.70,3.18,5.46,6.01
59,Seoul,South Korea,6.00,9.13,6.68,3.80,5.46,9.13,5.63,5.95
60,Milan,Italy,8.70,3.80,4.01,4.32,5.37,7.55,2.66,5.78
61,Antwerpen,Belgium,6.30,9.91,5.37,7.38,7.03,4.15,4.66,5.77
62,New Delhi,India,6.30,7.12,2.14,1.26,5.89,7.20,6.20,5.73
63,Toulouse,France,6.90,8.08,5.54,5.98,5.11,6.85,3.96,5.71
64,Athens,Greece,8.10,6.94,3.71,2.31,3.71,5.02,3.45,5.64
65,Paris,France,5.90,3.88,6.50,5.98,5.11,10.00,5.87,5.62
66,Hong Kong,China,5.90,9.91,6.94,3.45,4.58,8.08,4.84,5.61
67,Frankfurt,Germany,6.70,6.33,5.28,7.82,7.55,5.46,4.76,5.60
68,Melbourne,Australia,6.30,3.97,6.24,9.04,9.48,8.69,5.57,5.56
69,Lille,France,6.70,7.64,4.84,5.98,5.11,5.54,4.00,5.53
70,Chengdu,China,5.10,6.54,7.99,3.10,2.57,2.05,6.21,5.50
71,Rome,Italy,7.30,1.52,3.02,4.32,5.37,8.17,3.83,5.44
72,Reykjavik,Iceland,7.90,2.49,6.85,9.83,8.17,1.79,3.26,5.31
73,Buenos Aires,Argentina,6.50,2.92,3.18,6.33,6.07,9.48,4.84,5.29
74,Bogota,Colombia,7.50,6.59,1.26,5.02,2.49,8.86,4.01,5.22
75,Beijing,China,6.00,8.17,6.42,3.10,3.62,6.24,3.97,5.18
76,Sofia,Bulgaria,4.50,4.15,3.62,1.61,5.72,4.06,6.94,5.15
77,Venice,Italy,7.40,3.01,3.08,4.32,5.37,2.22,2.19,5.12
78,Barcelona,Spain,7.00,4.93,6.77,5.28,5.63,8.95,2.05,5.11
79,Warsaw,Poland,5.00,7.90,8.08,4.41,7.12,9.04,4.06,5.10
80,Johannesburg,South Africa,7.60,2.92,1.17,1.79,1.52,2.66,3.70,5.07
81,Manila,Philippines,7.90,3.80,1.09,3.36,6.68,4.58,4.44,5.04
82,Denpasar,Indonesia,4.80,2.49,2.57,2.57,4.32,1.26,6.43,4.93
83,Nantes,France,5.80,1.09,4.93,5.98,5.11,5.37,3.61,4.83
84,Mexico City,Mexico,7.10,3.53,1.26,6.24,3.01,7.47,2.41,4.80
85,Kuala Lumpur,Malaysia,5.40,7.73,1.79,4.50,6.77,6.33,3.98,4.70
86,Kiev,Ukraine,5.80,2.57,4.23,1.00,3.10,8.78,3.62,4.61
87,Mumbai,India,7.00,4.93,2.40,1.26,5.89,7.03,2.15,4.53
88,Istanbul,Turkey,5.00,4.67,1.61,3.53,2.40,9.83,4.33,4.49
89,Rio de Janeiro,Brazil,5.00,3.10,1.26,6.59,3.27,7.73,4.14,4.48
90,Jeddah,Saudi Arabia,4.50,1.00,5.19,4.93,1.26,2.14,4.83,4.46
91,Sao Paulo,Brazil,5.90,1.79,1.52,6.59,3.27,6.50,2.89,4.40
92,Guangzhou,China,4.50,5.37,9.04,3.10,3.62,4.41,3.23,4.32
93,Nairobi,Kenya,5.30,3.36,2.05,1.44,8.51,2.75,3.80,4.31
94,Cairo,Egypt,3.90,1.87,1.87,1.70,2.31,5.19,5.90,4.28
95,Phnom Penh,Cambodia,6.10,5.72,1.70,1.09,1.09,1.52,3.25,4.27
96,Colombo,Sri Lanka,4.60,2.92,5.39,1.35,1.96,1.87,4.37,4.24
97,Moscow,Russia,4.50,8.08,2.75,4.06,4.06,9.65,3.27,4.12
98,Hanoi,Vietnam,5.50,4.76,2.48,2.05,4.50,5.72,2.40,3.98
99,Bucharest,Romania,5.00,2.66,6.50,3.71,5.98,4.93,3.22,3.82
100,Budapest,Hungary,4.30,4.58,2.31,3.18,6.16,7.64,2.89,3.74
